,buying,maint,doors,persons,lug_boot,safety,class,color
0,vhigh,vhigh,2,2,small,low,unacc,2.78924725286608
1,vhigh,vhigh,2,2,small,med,unacc,0.022714431712306027
2,vhigh,vhigh,2,2,small,high,unacc,0.9490632217206287
3,vhigh,vhigh,2,2,med,low,unacc,1.3606907951677476
4,vhigh,vhigh,2,2,med,med,unacc,1.3430849270516623
5,vhigh,vhigh,2,2,med,high,unacc,3.9297036196351085
6,vhigh,vhigh,2,2,big,low,unacc,0.030834931876571048
7,vhigh,vhigh,2,2,big,med,unacc,3.9777986393020144
8,vhigh,vhigh,2,2,big,high,unacc,1.5507383623645756
9,vhigh,vhigh,2,4,small,low,unacc,2.822539716767048
10,vhigh,vhigh,2,4,small,med,unacc,2.4320912764159672
11,vhigh,vhigh,2,4,small,high,unacc,2.9600855550129883
12,vhigh,vhigh,2,4,med,low,unacc,0.04001769387876131
13,vhigh,vhigh,2,4,med,med,unacc,2.881362197500411
14,vhigh,vhigh,2,4,med,high,unacc,0.6725358419223966
15,vhigh,vhigh,2,4,big,low,unacc,2.888582871839699
16,vhigh,vhigh,2,4,big,med,unacc,3.604664692019416
17,vhigh,vhigh,2,4,big,high,unacc,3.8033559783672413
18,vhigh,vhigh,2,more,small,low,unacc,2.3285749701410525
19,vhigh,vhigh,2,more,small,med,unacc,0.3562097205864241
20,vhigh,vhigh,2,more,small,high,unacc,0.561225351557507
21,vhigh,vhigh,2,more,med,low,unacc,1.7451551382180535
22,vhigh,vhigh,2,more,med,med,unacc,1.386001161005276
23,vhigh,vhigh,2,more,med,high,unacc,0.9231101021120276
24,vhigh,vhigh,2,more,big,low,unacc,0.5990721964515693
25,vhigh,vhigh,2,more,big,med,unacc,2.350255011965001
26,vhigh,vhigh,2,more,big,high,unacc,3.2284112702057453
27,vhigh,vhigh,3,2,small,low,unacc,2.4695985115112076
28,vhigh,vhigh,3,2,small,med,unacc,2.966852125131812
29,vhigh,vhigh,3,2,small,high,unacc,3.94789505611377
30,vhigh,vhigh,3,2,med,low,unacc,0.6527148215801768
31,vhigh,vhigh,3,2,med,med,unacc,2.6698616399144854
32,vhigh,vhigh,3,2,med,high,unacc,1.837827138813085
33,vhigh,vhigh,3,2,big,low,unacc,3.1274988495926794
34,vhigh,vhigh,3,2,big,med,unacc,0.5323675862510941
35,vhigh,vhigh,3,2,big,high,unacc,1.3826340959160728
36,vhigh,vhigh,3,4,small,low,unacc,2.607186810990635
37,vhigh,vhigh,3,4,small,med,unacc,1.240437455751871
38,vhigh,vhigh,3,4,small,high,unacc,0.526401453511621
39,vhigh,vhigh,3,4,med,low,unacc,0.45045363825311435
40,vhigh,vhigh,3,4,med,med,unacc,0.5170979818818005
41,vhigh,vhigh,3,4,med,high,unacc,3.40491333197886
42,vhigh,vhigh,3,4,big,low,unacc,1.5320582202870523
43,vhigh,vhigh,3,4,big,med,unacc,3.935805293612544
44,vhigh,vhigh,3,4,big,high,unacc,3.0091273860674246
45,vhigh,vhigh,3,more,small,low,unacc,0.9427559907566336
46,vhigh,vhigh,3,more,small,med,unacc,0.6420067565919543
47,vhigh,vhigh,3,more,small,high,unacc,0.4968310673510472
48,vhigh,vhigh,3,more,med,low,unacc,3.7493905786989483
49,vhigh,vhigh,3,more,med,med,unacc,0.2941183984918463
50,vhigh,vhigh,3,more,med,high,unacc,1.7905704717456379
51,vhigh,vhigh,3,more,big,low,unacc,3.7151125092882897
52,vhigh,vhigh,3,more,big,med,unacc,2.128934681999033
53,vhigh,vhigh,3,more,big,high,unacc,0.46206959116464397
54,vhigh,vhigh,4,2,small,low,unacc,0.7936645606582506
55,vhigh,vhigh,4,2,small,med,unacc,0.1456554684068636
56,vhigh,vhigh,4,2,small,high,unacc,2.737664035622811
57,vhigh,vhigh,4,2,med,low,unacc,0.4456492225701467
58,vhigh,vhigh,4,2,med,med,unacc,2.9044532309864683
59,vhigh,vhigh,4,2,med,high,unacc,1.567509474454332
60,vhigh,vhigh,4,2,big,low,unacc,2.2495105906618806
61,vhigh,vhigh,4,2,big,med,unacc,0.8755929405226133
62,vhigh,vhigh,4,2,big,high,unacc,0.21360271165434908
63,vhigh,vhigh,4,4,small,low,unacc,3.610789091106442
64,vhigh,vhigh,4,4,small,med,unacc,2.8857592767049702
65,vhigh,vhigh,4,4,small,high,unacc,1.9938159809620872
66,vhigh,vhigh,4,4,med,low,unacc,1.2469463555203788
67,vhigh,vhigh,4,4,med,med,unacc,0.6398982623077454
68,vhigh,vhigh,4,4,med,high,unacc,0.3782027507783807
69,vhigh,vhigh,4,4,big,low,unacc,2.4566103395991914
70,vhigh,vhigh,4,4,big,med,unacc,1.2716122028641625
71,vhigh,vhigh,4,4,big,high,unacc,2.7420092151889377
72,vhigh,vhigh,4,more,small,low,unacc,1.52943055158623
73,vhigh,vhigh,4,more,small,med,unacc,0.8695383691659737
74,vhigh,vhigh,4,more,small,high,unacc,2.953542120680565
75,vhigh,vhigh,4,more,med,low,unacc,2.0151953439188905
76,vhigh,vhigh,4,more,med,med,unacc,0.7620806138451548
77,vhigh,vhigh,4,more,med,high,unacc,1.2679211413002078
78,vhigh,vhigh,4,more,big,low,unacc,0.7316307424944162
79,vhigh,vhigh,4,more,big,med,unacc,1.646722729079377
80,vhigh,vhigh,4,more,big,high,unacc,3.382369567619334
81,vhigh,vhigh,5more,2,small,low,unacc,2.986432452397282
82,vhigh,vhigh,5more,2,small,med,unacc,0.9449959578905047
83,vhigh,vhigh,5more,2,small,high,unacc,3.5068242312543383
84,vhigh,vhigh,5more,2,med,low,unacc,3.8061154542791074
85,vhigh,vhigh,5more,2,med,med,unacc,3.3261586078275855
86,vhigh,vhigh,5more,2,med,high,unacc,2.8203087570829477
87,vhigh,vhigh,5more,2,big,low,unacc,0.2986879388254149
88,vhigh,vhigh,5more,2,big,med,unacc,0.6825722905775375
89,vhigh,vhigh,5more,2,big,high,unacc,2.8074908926089415
90,vhigh,vhigh,5more,4,small,low,unacc,0.9459891577776443
91,vhigh,vhigh,5more,4,small,med,unacc,0.4859867903091648
92,vhigh,vhigh,5more,4,small,high,unacc,3.2547389853672515
93,vhigh,vhigh,5more,4,med,low,unacc,1.1615176108150815
